,revolving,age,nbr_30_59_days_past_due_not_worse,debt_ratio,monthly_income,nbr_open_credits_and_loans,nbr_90_days_late,nbr_real_estate_loans_or_lines,nbr_60_89_days_past_due_not_worse,dependents,target
110234,0.685021574,46,0,3685.0,,8,0,1,0,2.0,0
47688,0.101827129,69,0,58.0,,3,0,0,0,0.0,0
112515,0.025911384,49,0,0.4335216,6550.0,12,0,1,0,0.0,0
110927,0.147597558,30,0,0.339835165,3639.0,5,0,1,0,0.0,0
54418,0.16169187,63,0,5.877805486,400.0,11,0,1,0,1.0,0
24062,0.035918508,44,0,0.519641735,6363.0,5,0,1,0,0.0,0
51922,0.0,72,0,0.581117021,6015.0,10,0,3,0,0.0,0
119087,2664.0,43,0,0.207792208,13166.0,4,0,3,0,3.0,0
12360,0.222982847,30,0,0.358648481,3225.0,6,0,0,0,0.0,0
118164,0.306049154,40,0,0.379734666,5200.0,10,0,1,0,1.0,0
76133,0.476117463,48,0,0.586744855,9037.0,8,0,4,0,2.0,0
14113,0.001349933,67,0,0.242217678,4400.0,3,0,1,0,1.0,0
33616,0.154570452,38,0,0.067288474,1500.0,3,0,0,0,0.0,0
76849,0.126859318,47,1,1.166212534,1100.0,17,0,2,0,2.0,0
64500,0.893310669,51,3,5734.0,,15,0,3,1,0.0,0
82044,1.052731576,50,0,0.431104593,15000.0,11,0,2,1,2.0,1
63417,0.101018899,52,0,0.234858553,5266.0,11,0,1,0,2.0,0
32285,0.069217504,54,0,0.294653657,12400.0,14,0,1,0,1.0,0
30820,0.0,78,0,0.0,2150.0,4,0,0,0,1.0,0
33024,0.132770342,47,0,0.132425498,10133.0,7,0,1,0,2.0,0
54348,0.267253808,41,1,0.216356729,5000.0,5,0,0,0,3.0,0
5096,0.050385471,78,0,0.062271898,8767.0,6,0,0,0,0.0,0
131919,0.0,61,0,0.227025998,10500.0,13,0,1,0,0.0,0
114588,0.979455858,41,0,0.305044274,10050.0,7,0,1,0,1.0,0
132602,0.065381678,47,2,0.414865684,4950.0,15,0,2,0,0.0,0
54627,0.45678858,77,0,0.25089988,7500.0,9,0,2,0,0.0,0
82998,0.0,68,2,0.260775862,4175.0,5,0,1,0,0.0,0
25109,0.063680859,25,0,0.028204213,2800.0,7,0,0,0,0.0,0
108353,0.70643119,28,2,0.232255915,3000.0,4,0,0,1,0.0,1
48394,0.013116599,32,0,2067.0,0.0,10,0,2,0,0.0,0
143331,0.0,49,0,0.372744155,21000.0,9,0,2,0,2.0,0
121094,0.058202942,67,0,0.232574989,6900.0,7,0,1,0,1.0,0
41747,0.048699189,62,0,0.015315933,150300.0,6,0,1,0,0.0,0
104175,0.780230362,32,1,0.255459563,8333.0,8,0,1,0,0.0,0
17358,0.9999999,64,0,0.155813262,6725.0,1,0,1,0,0.0,0
75951,0.09907597,62,0,0.234635117,9550.0,8,0,2,0,0.0,0
86200,0.041746521,52,0,0.072385523,5000.0,3,0,0,0,3.0,0
129264,0.004116359,75,1,0.140643226,6000.0,9,0,1,0,0.0,0
115952,1.40083015,39,0,0.690163557,4340.0,16,0,1,0,1.0,0
73465,0.049938068,66,0,49.0,,6,0,0,0,0.0,0
84437,0.494211587,55,0,0.412093536,12700.0,21,0,2,0,2.0,0
75215,0.0,49,0,5.83908046,2000.0,13,0,10,0,2.0,0
84797,0.0,70,0,0.261413289,6636.0,6,0,1,0,0.0,0
16447,0.070721335,46,0,0.072654558,6000.0,3,0,0,0,2.0,0
148924,0.0,76,0,0.0,,4,0,0,0,,0
55008,0.035834679,48,0,285.0,,8,0,1,0,0.0,0
82545,0.036362678,50,0,0.75375982,4454.0,31,0,2,0,3.0,0
144392,0.019645876,59,1,0.354397635,8117.0,9,0,2,0,0.0,0
145154,0.9999999,50,0,0.096832705,7166.0,1,0,0,0,0.0,0
82635,0.014696299,90,0,0.050138313,5783.0,3,0,0,0,0.0,0
131475,0.399410307,62,0,0.7521486,7213.0,21,0,2,0,0.0,0
80632,0.226378875,58,0,1504.0,,10,0,2,0,0.0,0
116455,0.041990669,41,0,0.079230192,4000.0,2,0,0,0,2.0,0
93446,0.148279761,49,0,0.370631195,3833.0,13,0,1,0,2.0,0
30144,0.275776498,62,0,0.181737392,4500.0,13,0,0,0,0.0,1
40843,0.046655474,59,0,0.165021514,3950.0,7,0,0,0,0.0,0
44705,0.0,78,0,0.0,5168.0,2,0,0,0,0.0,0
19108,0.081359372,72,0,98.0,0.0,3,0,0,0,0.0,0
91401,0.021588449,78,0,0.015928516,2573.0,9,0,0,0,0.0,0
50493,0.9999999,56,0,0.274513243,5700.0,7,0,1,0,1.0,0
114016,0.990267316,66,0,0.352124183,6119.0,4,0,2,0,0.0,0
126502,0.0,53,0,0.0,4725.0,6,0,0,0,1.0,0
73355,0.467423503,51,0,0.591154591,9812.0,19,0,2,0,1.0,0
11520,0.009570229,53,0,0.002117398,8500.0,9,0,0,0,0.0,0
102326,0.140492195,31,0,0.107664701,3900.0,7,0,1,0,0.0,0
91600,0.062856177,71,0,0.012266238,9945.0,7,0,0,0,0.0,0
48034,0.001052576,63,1,610.0,,5,0,1,0,,0
1447,0.122830785,46,0,2162.0,,4,0,1,0,0.0,0
67118,0.07465593,68,0,1525.0,,11,0,2,0,0.0,0
52519,0.117006793,58,1,2379.0,,19,0,2,0,0.0,0
61386,0.9999999,48,0,0.0,,0,0,0,1,0.0,0
148426,0.014628275,23,0,0.004872107,820.0,3,0,0,0,0.0,0
46132,0.00389961,42,0,0.100071994,4166.0,2,0,0,0,3.0,0
54778,0.061090427,44,0,0.340352463,11064.0,8,0,2,0,3.0,0
13539,0.938123752,26,0,0.019975031,800.0,1,0,0,0,0.0,0
136836,0.478410323,52,0,0.413765313,6203.0,19,0,1,0,0.0,0
26847,0.300662226,64,0,0.311384088,7000.0,11,0,1,0,0.0,0
135308,0.000603129,56,2,0.378108177,3900.0,9,0,1,0,5.0,0
50675,0.927581774,60,0,0.550471924,6250.0,14,0,2,0,0.0,0
120370,0.101897453,55,0,0.217801753,10380.0,5,0,1,0,2.0,0
37465,0.023154848,53,0,0.366684502,5606.0,10,0,2,0,3.0,0
72514,0.050587243,60,0,2141.0,,14,0,1,0,0.0,0
81984,0.004224894,47,0,0.299870013,10000.0,6,0,1,0,2.0,0
127417,0.799669494,63,0,1.508126604,4675.0,15,0,2,0,0.0,0
125192,0.406587688,53,0,0.173823676,18000.0,14,0,0,0,2.0,0
67535,0.978907188,44,2,0.522067439,7680.0,14,0,2,0,4.0,0
30596,0.29471579,56,0,0.592055382,12133.0,11,0,4,0,0.0,0
133253,0.127428809,72,0,247.0,,5,0,0,0,0.0,0
125200,0.040442328,58,0,0.133386661,10000.0,7,0,1,0,3.0,0
147871,0.342368389,47,2,0.427276988,6400.0,9,2,2,0,0.0,1
32040,0.099239417,57,1,5394.0,,8,0,3,0,0.0,0
62109,0.750312422,27,0,0.064267352,4667.0,3,0,0,0,0.0,0
137130,0.607933273,40,0,0.462264151,3709.0,8,0,0,0,1.0,0
42080,0.053484308,64,0,1740.0,,7,0,2,0,0.0,0
17386,0.9999999,50,1,0.272470588,2124.0,1,0,0,2,2.0,0
24140,0.010278265,51,0,1.014386735,4100.0,13,0,4,0,3.0,0
101483,0.408782578,42,1,0.462892483,2101.0,4,0,1,0,3.0,0
69188,0.006651008,74,0,0.00125329,7978.0,6,0,0,0,0.0,0
97783,0.311485842,44,0,0.266636941,8970.0,5,0,2,0,3.0,0
12135,0.489215826,36,0,0.171699526,4006.0,4,0,0,0,0.0,0
121209,0.10162654,37,0,0.572261558,2400.0,9,0,1,0,5.0,0
88420,0.574400826,49,0,0.247396655,12675.0,9,0,2,0,1.0,0
102619,0.012569147,48,1,0.136304063,7629.0,7,0,1,0,1.0,0
68376,0.010290535,48,0,0.171261248,7000.0,4,0,1,0,0.0,0
122520,0.438890277,63,0,1449.0,,3,0,1,0,0.0,0
22247,1.525896414,57,1,133.0,,1,1,0,0,0.0,1
21306,0.075745675,61,0,0.134012739,3924.0,8,0,0,0,0.0,0
105494,0.928786634,42,1,599.0,,3,0,0,0,0.0,0
6337,0.662623786,54,1,0.941571992,4312.0,19,0,1,0,0.0,0
72905,0.9999999,50,0,0.0,1916.0,0,0,0,0,0.0,0
100220,0.056217847,73,0,0.253763441,8834.0,14,0,2,0,0.0,0
72919,0.842137431,57,0,0.284242823,4562.0,9,0,1,0,0.0,0
75507,0.020309701,42,0,0.571809397,3000.0,8,0,2,0,0.0,0
59165,0.002399947,50,0,0.208558288,5000.0,12,0,0,0,2.0,0
45403,0.408757386,41,1,0.295626148,14700.0,4,0,2,0,2.0,0
48135,0.136200447,43,0,1504.0,,8,0,1,0,,0
96369,0.438401776,54,1,0.082788671,917.0,5,0,0,0,0.0,0
124097,0.037983115,46,0,2950.0,,11,0,1,0,0.0,0
92499,0.003576854,86,0,4.0,,5,0,0,0,0.0,0
62298,0.038177191,63,0,33.0,,1,0,0,0,0.0,0
119824,0.330836454,43,2,0.041138156,5833.0,4,1,0,1,0.0,1
124373,0.033137481,52,0,60.0,,8,0,0,0,0.0,0
117483,0.051072609,70,0,0.021652943,3278.0,5,0,0,0,0.0,0
121786,0.428925686,27,0,943.0,,5,0,0,0,0.0,0
115282,0.43980913,67,1,0.243988161,5405.0,10,0,0,0,0.0,0
56904,0.445255228,37,0,0.468766799,9300.0,11,0,4,0,2.0,0
102746,0.900692629,48,0,0.922692376,5600.0,8,0,2,0,3.0,0
70000,0.196938865,55,0,0.419197877,6781.0,22,0,2,0,0.0,0
99072,0.95045724,31,0,0.439808779,2300.0,6,0,0,0,0.0,0
142485,0.148798957,37,0,0.204101669,9166.0,7,0,1,0,3.0,0
92910,0.0,54,0,0.367115521,7054.0,6,0,1,0,1.0,0
68732,0.000640998,32,0,0.361579803,8000.0,10,0,2,0,2.0,0
7644,0.327599778,43,0,0.201170446,4100.0,13,0,0,0,1.0,0
106627,0.200843634,76,0,0.160854812,13850.0,8,0,2,0,0.0,0
41274,0.320059362,61,0,0.500116252,4300.0,9,0,1,0,0.0,0
144319,0.021543496,95,0,0.000999857,7000.0,7,0,0,0,0.0,0
131474,0.049160762,67,0,0.015767553,10083.0,9,0,0,0,0.0,0
58094,0.144839056,35,0,3624.0,,9,0,1,0,0.0,0
50796,0.0,31,0,0.099960016,2500.0,8,0,0,0,0.0,0
113044,0.006042881,58,0,0.152615514,9500.0,9,0,1,0,0.0,0
120109,0.583231012,46,0,0.287373004,1377.0,6,0,0,0,3.0,0
144291,0.533011272,30,1,0.19001387,6488.0,7,0,1,0,1.0,0
145852,0.00604057,49,0,0.422938073,3600.0,6,0,1,0,1.0,0
63284,0.179830009,69,1,1.096620657,2100.0,29,0,2,0,1.0,0
125890,0.075467549,70,0,2051.0,,19,0,1,0,,0
114495,0.047031766,40,0,0.24175165,8334.0,6,0,1,0,0.0,0
72626,1.121985649,39,1,0.204243078,2780.0,11,0,0,0,1.0,1
96858,0.03276419,31,0,0.425706357,7927.0,3,0,2,0,0.0,0
6330,0.035306787,42,0,1225.0,,4,0,1,0,0.0,0
116699,0.10603311,60,0,0.139124058,15000.0,7,0,1,0,0.0,0
51420,0.257018579,61,0,0.723128599,4167.0,18,0,1,0,0.0,0
100727,0.119635566,54,0,0.302336165,6591.0,8,0,1,0,2.0,0
99480,0.9999999,46,0,0.097167585,5083.0,10,0,0,0,1.0,0
14650,0.156862745,40,0,0.633032214,5866.0,7,0,2,0,2.0,0
115959,0.270486342,23,0,0.014616322,820.0,1,0,0,0,0.0,0
50188,0.052907426,38,0,0.410797744,6204.0,12,0,1,0,3.0,0
136588,0.076879216,51,0,0.469596413,5574.0,11,0,1,0,1.0,0
137545,0.0,59,0,0.360085322,7500.0,8,0,2,0,0.0,0
2563,0.9999999,23,0,0.0,820.0,1,0,0,0,0.0,0
98461,0.910444517,41,2,0.067501918,3910.0,3,0,0,0,0.0,0
116693,0.282927046,51,0,1457.0,,8,0,1,0,3.0,0
19493,0.195434258,78,0,1523.0,,8,0,2,0,0.0,0
45395,0.287621601,56,0,0.390658477,7000.0,16,0,2,0,2.0,0
81228,0.641378845,66,0,1.221329046,1865.0,17,0,2,0,0.0,0
144752,0.011444955,56,0,0.395176905,5680.0,14,0,3,0,2.0,0
137592,0.671665774,54,4,0.325796031,6500.0,3,0,1,0,1.0,0
65351,0.05355258,84,0,0.023990404,2500.0,1,0,0,0,0.0,0
58329,0.0,75,0,0.078311721,3932.0,7,0,0,0,0.0,0
59486,0.001846012,95,0,0.0,,2,0,0,0,,0
19909,0.286652688,52,0,2.229441163,2200.0,9,0,2,0,2.0,0
104959,0.245206466,67,0,0.580547112,1973.0,5,0,1,0,0.0,0
42732,0.9999999,39,2,0.136668092,7016.0,5,1,1,0,0.0,1
25866,1.152414438,48,0,0.246618599,19000.0,11,0,2,0,2.0,0
142586,0.0,55,1,0.097214161,3445.0,7,0,0,0,0.0,0
48713,0.0110215,59,0,1097.0,,14,0,1,0,,0
40086,0.136172765,32,0,0.463845617,4300.0,2,0,1,0,0.0,0
45754,275.0,41,0,513.0,,3,0,1,0,0.0,0
64301,0.011519539,66,0,0.405371643,1600.0,5,0,1,0,0.0,0
108085,0.007630575,33,2,411.0,,2,0,0,0,0.0,0
15524,0.758450406,55,1,2629.0,,12,0,1,0,0.0,0
1148,0.751585703,56,0,1.478577549,2333.0,8,0,2,0,0.0,0
70489,0.0,79,0,0.203974503,8000.0,9,0,1,0,1.0,0
12647,0.115188735,46,0,0.29269003,10300.0,20,0,2,0,2.0,0
148661,0.481303518,50,0,3643.0,,14,0,0,0,0.0,0
111656,0.326067547,47,0,0.410104279,5561.0,14,0,1,0,3.0,0
36283,0.025625689,58,0,0.166266712,5833.0,4,0,1,0,0.0,0
75338,0.0,66,0,0.151525659,2883.0,2,0,0,0,0.0,0
